image_path,image_type,source_dataset,split,original_label_or_class_if_available,width,height,file_ext,readable,notes
data/raw/scin/images/train_-1003844406100696311_image_1.jpg,clinical_macroscopic,google_scin,test,Lichen planus/lichenoid eruption,810,1080,jpg,True,
data/raw/scin/images/train_-1003844406100696311_image_2.jpg,clinical_macroscopic,google_scin,train,Lichen planus/lichenoid eruption,810,1080,jpg,True,
data/raw/scin/images/train_-1003844406100696311_image_3.jpg,clinical_macroscopic,google_scin,train,Lichen planus/lichenoid eruption,810,1080,jpg,True,
data/raw/scin/images/train_-1005079160214352144_image_1.jpg,clinical_macroscopic,google_scin,train,Drug Rash,810,1080,jpg,True,
data/raw/scin/images/train_-1005079160214352144_image_2.jpg,clinical_macroscopic,google_scin,test,Drug Rash,810,1080,jpg,True,
data/raw/scin/images/train_-1005079160214352144_image_3.jpg,clinical_macroscopic,google_scin,train,Drug Rash,460,1079,jpg,True,
data/raw/scin/images/train_-1013831220015814987_image_1.jpg,clinical_macroscopic,google_scin,val,Basal Cell Carcinoma,810,1080,jpg,True,
data/raw/scin/images/train_-101827005996397499_image_1.jpg,clinical_macroscopic,google_scin,train,Eczema,773,1079,jpg,True,
data/raw/scin/images/train_-101827005996397499_image_2.jpg,clinical_macroscopic,google_scin,val,Eczema,416,260,jpg,True,
data/raw/scin/images/train_-1031911667791094656_image_1.jpg,clinical_macroscopic,google_scin,train,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-1031911667791094656_image_2.jpg,clinical_macroscopic,google_scin,train,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-1031911667791094656_image_3.jpg,clinical_macroscopic,google_scin,train,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-1033431645373513522_image_1.jpg,clinical_macroscopic,google_scin,train,Urticaria,1080,607,jpg,True,
data/raw/scin/images/train_-1033431645373513522_image_2.jpg,clinical_macroscopic,google_scin,train,Urticaria,1080,607,jpg,True,
data/raw/scin/images/train_-1033431645373513522_image_3.jpg,clinical_macroscopic,google_scin,test,Urticaria,1080,607,jpg,True,
data/raw/scin/images/train_-1073544188024944010_image_1.jpg,clinical_macroscopic,google_scin,train,Urticaria,810,1080,jpg,True,
data/raw/scin/images/train_-1073544188024944010_image_2.jpg,clinical_macroscopic,google_scin,train,Urticaria,810,1080,jpg,True,
data/raw/scin/images/train_-1073544188024944010_image_3.jpg,clinical_macroscopic,google_scin,val,Urticaria,1080,810,jpg,True,
data/raw/scin/images/train_-1087381795155772077_image_1.jpg,clinical_macroscopic,google_scin,test,Psoriasis,813,1080,jpg,True,
data/raw/scin/images/train_-113091225230567987_image_1.jpg,clinical_macroscopic,google_scin,train,Urticaria,810,584,jpg,True,
data/raw/scin/images/train_-113091225230567987_image_2.jpg,clinical_macroscopic,google_scin,val,Urticaria,810,783,jpg,True,
data/raw/scin/images/train_-113091225230567987_image_3.jpg,clinical_macroscopic,google_scin,train,Urticaria,810,1080,jpg,True,
data/raw/scin/images/train_-1131745754224368828_image_1.jpg,clinical_macroscopic,google_scin,val,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-1137468110374856758_image_1.jpg,clinical_macroscopic,google_scin,train,Urticaria,718,580,jpg,True,
data/raw/scin/images/train_-1137468110374856758_image_2.jpg,clinical_macroscopic,google_scin,train,Urticaria,658,1080,jpg,True,
data/raw/scin/images/train_-1137468110374856758_image_3.jpg,clinical_macroscopic,google_scin,test,Urticaria,697,700,jpg,True,
data/raw/scin/images/train_-114959561601268372_image_1.jpg,clinical_macroscopic,google_scin,test,Folliculitis,810,1080,jpg,True,
data/raw/scin/images/train_-114959561601268372_image_2.jpg,clinical_macroscopic,google_scin,test,Folliculitis,810,490,jpg,True,
data/raw/scin/images/train_-114959561601268372_image_3.jpg,clinical_macroscopic,google_scin,train,Folliculitis,734,946,jpg,True,
data/raw/scin/images/train_-1160477743339353280_image_1.jpg,clinical_macroscopic,google_scin,test,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-1160477743339353280_image_2.jpg,clinical_macroscopic,google_scin,train,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-1176139745215707994_image_1.jpg,clinical_macroscopic,google_scin,val,Eczema,797,512,jpg,True,
data/raw/scin/images/train_-1176139745215707994_image_2.jpg,clinical_macroscopic,google_scin,val,Eczema,810,858,jpg,True,
data/raw/scin/images/train_-1176139745215707994_image_3.jpg,clinical_macroscopic,google_scin,test,Eczema,262,668,jpg,True,
data/raw/scin/images/train_-1207834327352514621_image_1.jpg,clinical_macroscopic,google_scin,train,Acute and chronic dermatitis,1080,724,jpg,True,
data/raw/scin/images/train_-1207834327352514621_image_2.jpg,clinical_macroscopic,google_scin,train,Acute and chronic dermatitis,597,219,jpg,True,
data/raw/scin/images/train_-1207834327352514621_image_3.jpg,clinical_macroscopic,google_scin,train,Acute and chronic dermatitis,954,551,jpg,True,
data/raw/scin/images/train_-1212770266425026516_image_1.jpg,clinical_macroscopic,google_scin,train,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-1214152415217842430_image_1.jpg,clinical_macroscopic,google_scin,train,Psoriasis,810,1080,jpg,True,
data/raw/scin/images/train_-1219618387013167058_image_1.jpg,clinical_macroscopic,google_scin,train,Allergic Contact Dermatitis,810,1080,jpg,True,
data/raw/scin/images/train_-1219618387013167058_image_2.jpg,clinical_macroscopic,google_scin,train,Allergic Contact Dermatitis,405,1072,jpg,True,
data/raw/scin/images/train_-1219618387013167058_image_3.jpg,clinical_macroscopic,google_scin,train,Allergic Contact Dermatitis,759,1078,jpg,True,
data/raw/scin/images/train_-1226908042701108862_image_1.jpg,clinical_macroscopic,google_scin,test,Drug Rash,737,1080,jpg,True,
data/raw/scin/images/train_-1248246033945054233_image_1.jpg,clinical_macroscopic,google_scin,train,Urticaria,810,499,jpg,True,
data/raw/scin/images/train_-1248246033945054233_image_2.jpg,clinical_macroscopic,google_scin,test,Urticaria,609,697,jpg,True,
data/raw/scin/images/train_-1248246033945054233_image_3.jpg,clinical_macroscopic,google_scin,train,Urticaria,810,783,jpg,True,
data/raw/scin/images/train_-1287537139414408239_image_1.jpg,clinical_macroscopic,google_scin,train,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-130215202506383973_image_1.jpg,clinical_macroscopic,google_scin,test,Eczema,722,359,jpg,True,
data/raw/scin/images/train_-130215202506383973_image_2.jpg,clinical_macroscopic,google_scin,train,Eczema,741,515,jpg,True,
data/raw/scin/images/train_-130215202506383973_image_3.jpg,clinical_macroscopic,google_scin,train,Eczema,807,557,jpg,True,
data/raw/scin/images/train_-13131843686168963_image_1.jpg,clinical_macroscopic,google_scin,test,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-13131843686168963_image_2.jpg,clinical_macroscopic,google_scin,train,Eczema,810,1080,jpg,True,
data/raw/scin/images/train_-13131843686168963_image_3.jpg,clinical_macroscopic,google_scin,test,Eczema,1080,810,jpg,True,
data/raw/scin/images/train_-1410373638686722492_image_1.jpg,clinical_macroscopic,google_scin,train,Allergic Contact Dermatitis,524,1080,jpg,True,
